segment,train_start,train_end,test_start,test_end,number_train_sig_count,number_top,number_train_count,number_train_z,number_train_sig,number_test_count,number_test_z,number_test_hits,number_test_rtp,number_test_profit,pair_train_sig_count,pair_top,pair_train_count,pair_train_z,pair_train_sig,pair_test_count,pair_test_z,pair_test_single_hits,pair_test_double_hits,pair_test_rtp,pair_test_profit
1,1,20000,20001,25000,0,20,5176,2.874068,False,1218,-1.045116,1218,0.609,-977.5,0,20-69,1331,3.821318,False,325,1.449608,1832,325,0.6914,-771.5
2,5001,25000,25001,30000,0,77,5149,2.43316,False,1232,-0.587878,1232,0.616,-960.0,0,28-77,1318,3.434631,False,290,-0.632556,1888,290,0.6676,-831.0
3,10001,30000,30001,35000,0,21,5180,2.939388,False,1264,0.457238,1264,0.632,-920.0,0,35-67,1332,3.851064,False,273,-1.643894,1930,273,0.659,-852.5
4,15001,35000,35001,40000,0,50,5145,2.36784,False,1238,-0.391918,1238,0.619,-952.5,0,25-42,1319,3.464376,False,297,-0.216123,1860,297,0.669,-827.5
5,20001,40000,40001,45000,0,50,5130,2.122891,False,1216,-1.110435,1216,0.608,-980.0,0,38-55,1304,3.018198,False,300,-0.037652,1895,300,0.679,-802.5
6,25001,45000,45001,50000,0,67,5163,2.661779,False,1237,-0.424578,1237,0.6185,-953.75,0,25-44,1312,3.256159,False,298,-0.156633,1930,298,0.684,-790.0
7,30001,50000,50001,55000,0,73,5118,1.926932,False,1262,0.391918,1262,0.631,-922.5,0,47-77,1312,3.256159,False,293,-0.454085,1798,293,0.6526,-868.5
8,35001,55000,55001,60000,0,73,5125,2.041241,False,1300,1.632993,1300,0.65,-875.0,0,55-73,1324,3.613102,False,288,-0.751537,1920,288,0.672,-820.0
9,40001,60000,60001,65000,0,73,5122,1.992252,False,1216,-1.110435,1216,0.608,-980.0,0,16-27,1322,3.553611,False,308,0.438271,1880,308,0.684,-790.0
10,45001,65000,65001,70000,0,40,5138,2.253531,False,1287,1.208415,1287,0.6435,-891.25,0,33-73,1317,3.404885,False,286,-0.870518,1899,286,0.6658,-835.5
11,50001,70000,70001,75000,0,40,5164,2.678109,False,1246,-0.130639,1246,0.623,-942.5,0,37-40,1317,3.404885,False,312,0.676233,1867,312,0.6854,-786.5
12,55001,75000,75001,80000,0,29,5113,1.845282,False,1207,-1.404374,1207,0.6035,-991.25,0,1-44,1317,3.404885,False,283,-1.048989,1869,283,0.6568,-858.0
13,60001,80000,80001,85000,0,63,5134,2.188211,False,1230,-0.653197,1230,0.615,-962.5,0,31-40,1315,3.345395,False,295,-0.335104,1847,295,0.6644,-839.0
14,65001,85000,85001,90000,0,14,5135,2.204541,False,1292,1.371714,1292,0.646,-885.0,0,14-37,1313,3.285905,False,315,0.854704,1880,315,0.691,-772.5
15,70001,90000,90001,95000,0,14,5160,2.612789,False,1266,0.522558,1266,0.633,-917.5,0,14-25,1326,3.672592,False,303,0.140819,1924,303,0.6878,-780.5
16,75001,95000,95001,100000,0,14,5128,2.090231,False,1252,0.06532,1252,0.626,-935.0,0,22-32,1330,3.791573,False,281,-1.16797,1880,281,0.657,-857.5
17,80001,100000,100001,101952,0,62,5138,2.253531,False,457,-1.620396,457,0.585297,-404.75,0,53-62,1316,3.37514,False,113,-0.4158,712,113,0.654201,-337.5
