strategy,category,stake_per_draw,starting_bankroll,mean_profit_per_draw,mean_final_profit,mean_final_bankroll,median_final_bankroll,stdev_final_profit,min_final_profit,max_final_profit,payout_hit_pct,positive_round_pct,profitable_run_pct,ruin_run_pct,mean_min_bankroll,mean_max_bankroll,mean_max_drawdown,mean_max_round_profit,max_round_profit_observed,mean_rtp
portfolio_plain_draw_column_2,portfolio,2.5,500.0,-0.546099,-5460.9933,-4960.9933,-4966.25,292.5051,-6352.5,-4398.0,59.8073,28.3142,0.0,100.0,-4968.1833,507.525,5475.7083,12.0,12.0,0.78156
portfolio_bonus_draw_column_2,portfolio,3.0,500.0,-0.707498,-7074.9767,-6574.9767,-6564.5,404.1776,-8395.0,-5343.0,59.8073,30.1109,0.0,100.0,-6586.0667,510.65,7096.7167,42.96,44.0,0.764167
portfolio_para1_draw_column_2,portfolio,3.0,500.0,-0.666628,-6666.2767,-6166.2767,-6170.75,295.0336,-7528.5,-5631.0,59.8073,28.3142,0.0,100.0,-6172.185,506.5433,6678.7283,11.5,11.5,0.777791
portfolio_para1_bonus_draw_column_2,portfolio,3.5,500.0,-0.828026,-8280.26,-7780.26,-7764.5,405.704,-9571.0,-6576.0,59.8073,30.1109,0.0,100.0,-7789.6217,509.1867,8298.8083,42.46,43.5,0.763421
portfolio_plain_draw_column_5,portfolio,2.5,500.0,-0.537423,-5374.23,-4874.23,-4868.0,623.7408,-7150.0,-3143.0,35.2314,29.2235,0.0,100.0,-4917.0733,541.9083,5458.9817,227.4633,234.5,0.785031
portfolio_bonus_draw_column_5,portfolio,3.0,500.0,-0.690459,-6904.59,-6404.59,-6416.0,1025.9995,-9601.0,-3251.5,38.6247,30.1209,0.0,100.0,-6501.4733,583.5367,7085.01,581.56,684.0,0.769847
portfolio_para1_draw_column_5,portfolio,3.0,500.0,-0.675283,-6752.83,-6252.83,-6225.5,759.1721,-9121.0,-4153.0,35.2314,29.2235,0.0,100.0,-6303.69,546.8433,6850.5333,227.0633,234.0,0.774906
portfolio_para1_bonus_draw_column_5,portfolio,3.5,500.0,-0.828319,-8283.19,-7783.19,-7787.25,1133.3039,-11661.0,-4351.5,38.6247,30.1209,0.0,100.0,-7882.6333,579.43,8462.0633,581.16,683.5,0.763337
portfolio_plain_draw_column_7,portfolio,2.5,500.0,-0.536249,-5362.485,-4862.485,-5366.0,1265.3314,-7074.5,-385.5,45.2459,28.9881,0.0,100.0,-5005.9867,647.765,5644.565,583.6267,2505.5,0.785501
portfolio_bonus_draw_column_7,portfolio,3.0,500.0,-0.686919,-6869.1883,-6369.1883,-7279.5,2503.3857,-9296.5,7616.5,48.7231,31.6058,2.33,99.67,-6779.5567,905.4533,7524.5183,1085.4733,7505.0,0.771027
portfolio_para1_draw_column_7,portfolio,3.0,500.0,-0.704748,-7047.485,-6547.485,-6747.25,1791.3875,-10274.5,-733.5,45.2459,28.9881,0.0,100.0,-6774.5083,757.9667,7529.3,935.6267,2505.0,0.765084
portfolio_para1_bonus_draw_column_7,portfolio,3.5,500.0,-0.855419,-8554.1883,-8054.1883,-8594.0,2854.5037,-12635.5,5989.5,48.7231,31.6058,2.0,99.67,-8512.315,979.2317,9389.3083,1437.4667,7504.5,0.755595
