pick,stake_per_draw,mean_profit_per_draw,mean_final_profit,median_final_profit,stdev_final_profit,min_final_profit,max_final_profit,payout_hit_pct,profitable_run_pct,mean_rtp
1,0.5,-0.187545,-1875.45,-1877.5,55.0421,-2057.5,-1692.5,24.9964,0.0,0.62491
2,0.5,-0.160135,-1601.349,-1602.25,61.5467,-1763.0,-1423.5,43.9709,0.0,0.67973
3,0.5,-0.153092,-1530.925,-1529.375,156.1055,-1956.25,-1046.25,15.248,0.0,0.693815
4,0.5,-0.155024,-1550.241,-1563.25,307.6778,-2315.5,-575.5,25.8617,0.0,0.689952
5,0.5,-0.150546,-1505.462,-1523.5,584.5546,-2986.0,891.0,9.6528,1.4,0.698908
6,0.5,-0.154264,-1542.644,-1728.25,945.0204,-3047.0,2437.0,16.1284,6.0,0.691471
7,0.5,-0.14887,-1488.698,-2065.75,1284.2171,-2710.5,5386.5,23.6119,22.0,0.70226
8,0.5,-0.14971,-1497.102,-1905.5,1868.4802,-3119.0,7349.0,10.2111,6.0,0.70058
9,0.5,-0.141683,-1416.829,-2160.75,2127.2431,-2940.5,17686.0,15.2754,9.4,0.716634
10,0.5,-0.153798,-1537.976,-1884.5,1334.1082,-2715.0,3938.0,11.0414,7.4,0.692405
11,0.5,-0.158223,-1582.232,-1723.75,859.5989,-2714.0,6495.5,13.087,1.4,0.683554
12,0.5,-0.14633,-1463.3,-1556.5,843.8621,-2800.5,11378.5,6.3409,2.4,0.70734
